C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/Exponents/MultiProgExponents.py
32768
         10800 function calls (10513 primitive calls) in 0.098 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 queue.py:22(Full)
        1    0.000    0.000    0.000    0.000 queue.py:220(PriorityQueue)
        1    0.000    0.000    0.000    0.000 queue.py:239(LifoQueue)
        1    0.000    0.000    0.000    0.000 queue.py:255(_PySimpleQueue)
        1    0.000    0.000    0.000    0.000 queue.py:27(Queue)
        1    0.000    0.000    0.014    0.014 queues.py:10(<module>)
        1    0.000    0.000    0.000    0.000 queues.py:286(JoinableQueue)
        1    0.000    0.000    0.000    0.000 queues.py:328(SimpleQueue)
        2    0.000    0.000    0.001    0.000 queues.py:330(__init__)
        1    0.000    0.000    0.000    0.000 queues.py:34(Queue)
        6    0.000    0.000    0.000    0.000 queues.py:342(__getstate__)
       32    0.000    0.000    0.000    0.000 random.py:224(_randbelow)
       32    0.000    0.000    0.000    0.000 random.py:256(choice)
        1    0.000    0.000    0.004    0.004 random.py:38(<module>)
        1    0.000    0.000    0.000    0.000 random.py:669(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        3    0.000    0.000    0.000    0.000 random.py:88(__init__)
        3    0.000    0.000    0.000    0.000 random.py:97(seed)
       12    0.000    0.000    0.000    0.000 reduction.py:102(__init__)
        6    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
        2    0.000    0.000    0.000    0.000 reduction.py:43(register)
        6    0.000    0.000    0.001    0.000 reduction.py:58(dump)
        6    0.000    0.000    0.000    0.000 reduction.py:71(duplicate)
        1    0.000    0.000    0.000    0.000 runpy.py:160(_Error)
        1    0.000    0.000    0.000    0.000 runpy.py:23(_TempModule)
        1    0.000    0.000    0.000    0.000 runpy.py:46(_ModifiedArgv0)
        1    0.000    0.000    0.004    0.004 runpy.py:8(<module>)
        1    0.000    0.000    0.006    0.006 shutil.py:5(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:55(Error)
        1    0.000    0.000    0.000    0.000 shutil.py:58(SameFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:61(SpecialFileError)
        1    0.000    0.000    0.000    0.000 shutil.py:65(ExecError)
        1    0.000    0.000    0.000    0.000 shutil.py:68(ReadError)
        1    0.000    0.000    0.000    0.000 shutil.py:71(RegistryError)
        1    0.000    0.000    0.004    0.004 spawn.py:11(<module>)
        3    0.000    0.000    0.000    0.000 spawn.py:121(_check_not_importing_main)
        3    0.000    0.000    0.000    0.000 spawn.py:139(get_preparation_data)
        3    0.000    0.000    0.000    0.000 spawn.py:45(get_executable)
        3    0.000    0.000    0.000    0.000 spawn.py:78(get_command_line)
        9    0.000    0.000    0.000    0.000 spawn.py:87(<genexpr>)
        1    0.000    0.000    0.000    0.000 subprocess.py:129(STARTUPINFO)
        1    0.000    0.000    0.000    0.000 subprocess.py:199(Handle)
        3    0.000    0.000    0.000    0.000 subprocess.py:262(_optim_args_from_interpreter_flags)
        3    0.000    0.000    0.000    0.000 subprocess.py:272(_args_from_interpreter_flags)
        1    0.000    0.000    0.000    0.000 subprocess.py:414(CompletedProcess)
        1    0.000    0.000    0.001    0.001 subprocess.py:42(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:57(SubprocessError)
        1    0.000    0.000    0.000    0.000 subprocess.py:60(CalledProcessError)
        1    0.000    0.000    0.000    0.000 subprocess.py:633(Popen)
        1    0.000    0.000    0.000    0.000 subprocess.py:97(TimeoutExpired)
        6    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
        1    0.000    0.000    0.000    0.000 synchronize.py:11(<module>)
        2    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)
        1    0.000    0.000    0.000    0.000 synchronize.py:123(Semaphore)
        1    0.000    0.000    0.000    0.000 synchronize.py:142(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 synchronize.py:159(Lock)
        2    0.000    0.000    0.000    0.000 synchronize.py:161(__init__)
        1    0.000    0.000    0.000    0.000 synchronize.py:184(RLock)
        1    0.000    0.000    0.000    0.000 synchronize.py:210(Condition)
        1    0.000    0.000    0.000    0.000 synchronize.py:321(Event)
        1    0.000    0.000    0.000    0.000 synchronize.py:360(Barrier)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        2    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        2    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        1    0.000    0.000    0.000    0.000 tempfile.py:132(_RandomNameSequence)
        4    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
        4    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
        4    0.000    0.000    0.000    0.000 tempfile.py:156(<listcomp>)
        2    0.000    0.000    0.000    0.000 tempfile.py:233(_get_candidate_names)
        1    0.000    0.000    0.012    0.012 tempfile.py:24(<module>)
        2    0.000    0.000    0.000    0.000 tempfile.py:382(mktemp)
        1    0.000    0.000    0.000    0.000 tempfile.py:414(_TemporaryFileCloser)
        1    0.000    0.000    0.000    0.000 tempfile.py:457(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 tempfile.py:627(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 tempfile.py:777(TemporaryDirectory)
        2    0.000    0.000    0.000    0.000 tempfile.py:84(_exists)
        3    0.000    0.000    0.000    0.000 threading.py:1116(daemon)
        3    0.000    0.000    0.000    0.000 threading.py:1131(daemon)
        3    0.000    0.000    0.000    0.000 threading.py:1225(current_thread)
        4    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
        4    0.000    0.000    0.000    0.000 threading.py:243(__exit__)
        4    0.000    0.000    0.000    0.000 threading.py:249(_release_save)
        4    0.000    0.000    0.000    0.000 threading.py:252(_acquire_restore)
        4    0.000    0.000    0.000    0.000 threading.py:255(_is_owned)
        4    0.000    0.000    0.067    0.017 threading.py:264(wait)
        4    0.000    0.000    0.000    0.000 threading.py:499(__init__)
        7    0.000    0.000    0.000    0.000 threading.py:507(is_set)
        4    0.000    0.000    0.067    0.017 threading.py:534(wait)
        3    0.000    0.000    0.000    0.000 threading.py:728(_newname)
        3    0.000    0.000    0.000    0.000 threading.py:763(__init__)
        3    0.000    0.000    0.001    0.000 threading.py:834(start)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.002    0.002 util.py:10(<module>)
        1    0.000    0.000    0.000    0.000 util.py:108(_platform_supports_abstract_sockets)
        1    0.000    0.000    0.000    0.000 util.py:182(Finalize)
        4    0.000    0.000    0.000    0.000 util.py:186(__init__)
        1    0.000    0.000    0.000    0.000 util.py:219(_LazyModule)
        1    0.000    0.000    0.000    0.000 util.py:266(LazyLoader)
        1    0.000    0.000    0.000    0.000 util.py:368(ForkAwareThreadLock)
        1    0.000    0.000    0.000    0.000 util.py:385(ForkAwareLocal)
        6    0.000    0.000    0.000    0.000 util.py:48(debug)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:200(_OptionError)
        1    0.000    0.000    0.000    0.000 warnings.py:205(_processoptions)
        1    0.000    0.000    0.000    0.000 warnings.py:410(WarningMessage)
