C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/Exponents/DaskExponents.py
32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656
         278581 function calls (264419 primitive calls) in 1.080 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 order.py:512(graph_metrics)
        1    0.000    0.000    0.000    0.000 order.py:587(<dictcomp>)
        1    0.000    0.000    0.000    0.000 order.py:641(ndependencies)
      128    0.000    0.000    0.000    0.000 order.py:706(__init__)
      843    0.000    0.000    0.000    0.000 order.py:709(__lt__)
        1    0.000    0.000    0.002    0.002 order.py:84(order)
        1    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
        1    0.000    0.000    0.000    0.000 os.py:684(__setitem__)
        3    0.000    0.000    0.000    0.000 os.py:740(check_str)
        2    0.000    0.000    0.000    0.000 os.py:746(encodekey)
      128    0.000    0.000    0.000    0.000 pickle.py:189(__init__)
      128    0.000    0.000    0.000    0.000 pickle.py:193(start_framing)
      128    0.000    0.000    0.001    0.000 pickle.py:196(end_framing)
     9984    0.007    0.000    0.009    0.000 pickle.py:201(commit_frame)
    17792    0.007    0.000    0.011    0.000 pickle.py:225(write)
      512    0.001    0.000    0.001    0.000 pickle.py:289(_getattribute)
      256    0.000    0.000    0.000    0.000 pickle.py:302(whichmodule)
      128    0.001    0.000    0.001    0.000 pickle.py:374(__init__)
      128    0.000    0.000    0.118    0.001 pickle.py:426(dump)
     6528    0.012    0.000    0.019    0.000 pickle.py:441(memoize)
     6528    0.001    0.000    0.001    0.000 pickle.py:464(put)
      768    0.000    0.000    0.001    0.000 pickle.py:476(get)
 9856/128    0.036    0.000    0.116    0.001 pickle.py:485(save)
     9856    0.002    0.000    0.002    0.000 pickle.py:551(persistent_id)
  512/128    0.002    0.000    0.058    0.000 pickle.py:567(save_reduce)
     1152    0.000    0.000    0.001    0.000 pickle.py:669(save_none)
     1152    0.001    0.000    0.002    0.000 pickle.py:680(save_long)
      256    0.000    0.000    0.001    0.000 pickle.py:718(save_bytes)
     3328    0.007    0.000    0.023    0.000 pickle.py:738(save_str)
 1536/128    0.005    0.000    0.116    0.001 pickle.py:761(save_tuple)
      128    0.000    0.000    0.001    0.000 pickle.py:812(save_list)
      128    0.000    0.000    0.000    0.000 pickle.py:825(_batch_appends)
  768/512    0.002    0.000    0.048    0.000 pickle.py:852(save_dict)
  768/512    0.003    0.000    0.045    0.000 pickle.py:865(_batch_setitems)
      256    0.002    0.000    0.010    0.000 pickle.py:943(save_global)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:194(ImpImporter)
        1    0.000    0.000    0.000    0.000 pkgutil.py:268(ImpLoader)
      128    0.000    0.000    0.003    0.000 pool.py:152(Process)
        1    0.000    0.000    0.507    0.507 pool.py:155(__init__)
        1    0.001    0.001    0.502    0.502 pool.py:227(_repopulate_pool)
        1    0.000    0.000    0.003    0.003 pool.py:250(_setup_queues)
      128    0.000    0.000    0.003    0.000 pool.py:356(apply_async)
        1    0.000    0.000    0.000    0.000 pool.py:538(close)
      128    0.001    0.000    0.003    0.000 pool.py:631(__init__)
        1    0.000    0.000    0.003    0.003 popen_spawn_win32.py:1(<module>)
     8128    0.003    0.000    0.029    0.000 popen_spawn_win32.py:113(poll)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:22(_path_eq)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:39(Popen)
      128    0.007    0.000    0.456    0.004 popen_spawn_win32.py:45(__init__)
      640    0.000    0.000    0.000    0.000 popen_spawn_win32.py:54(<genexpr>)
      256    0.000    0.000    0.001    0.000 popen_spawn_win32.py:93(duplicate_for_child)
     8128    0.011    0.000    0.026    0.000 popen_spawn_win32.py:97(wait)
      128    0.001    0.000    0.498    0.004 process.py:101(start)
      128    0.000    0.000    0.000    0.000 process.py:180(name)
      128    0.000    0.000    0.000    0.000 process.py:184(name)
      128    0.000    0.000    0.000    0.000 process.py:196(daemon)
      128    0.000    0.000    0.000    0.000 process.py:204(authkey)
      256    0.002    0.000    0.003    0.000 process.py:326(__reduce__)
      258    0.000    0.000    0.000    0.000 process.py:36(current_process)
      128    0.007    0.000    0.035    0.000 process.py:53(_cleanup)
      128    0.001    0.000    0.002    0.000 process.py:72(__init__)
      256    0.000    0.000    0.000    0.000 process.py:85(<genexpr>)
      128    0.000    0.000    0.000    0.000 process.py:90(_check_closed)
      131    0.001    0.000    0.428    0.003 queue.py:153(get)
        1    0.000    0.000    0.000    0.000 queue.py:205(_init)
      150    0.000    0.000    0.000    0.000 queue.py:208(_qsize)
      128    0.000    0.000    0.000    0.000 queue.py:216(_get)
        1    0.000    0.000    0.000    0.000 queue.py:33(__init__)
        1    0.000    0.000    0.001    0.001 queues.py:10(<module>)
        1    0.000    0.000    0.000    0.000 queues.py:286(JoinableQueue)
        1    0.000    0.000    0.000    0.000 queues.py:328(SimpleQueue)
        2    0.000    0.000    0.001    0.000 queues.py:330(__init__)
        1    0.000    0.000    0.000    0.000 queues.py:34(Queue)
      256    0.000    0.000    0.001    0.000 queues.py:342(__getstate__)
       32    0.000    0.000    0.000    0.000 random.py:224(_randbelow)
       32    0.000    0.000    0.000    0.000 random.py:256(choice)
        2    0.000    0.000    0.000    0.000 random.py:88(__init__)
        2    0.000    0.000    0.000    0.000 random.py:97(seed)
      512    0.002    0.000    0.006    0.000 reduction.py:102(__init__)
      256    0.002    0.000    0.003    0.000 reduction.py:38(__init__)
        2    0.000    0.000    0.000    0.000 reduction.py:43(register)
      256    0.002    0.000    0.035    0.000 reduction.py:58(dump)
      256    0.000    0.000    0.001    0.000 reduction.py:71(duplicate)
        1    0.000    0.000    0.000    0.000 runpy.py:160(_Error)
        1    0.000    0.000    0.000    0.000 runpy.py:23(_TempModule)
